	SRR7217923	SRR7217925	SRR7217927	SRR7217929
atoC	51	48	81	74
atoD	1	0	0	0
atoA	0	0	1	0
atoE	0	0	2	0
atoB	0	2	0	1
yfaP	0	0	0	1
yfaQ	4	1	2	4
yfaT	0	1	1	0
yfaA	4	9	6	10
gyrA	732	767	532	501
ubiG	54	52	47	42
yfaL	11	9	15	12
ypaB	0	0	0	0
nrdA	465	477	283	258
nrdB	151	158	75	97
yfaE	3	4	1	1
inaA	25	17	28	25
glpQ	2275	2127	3622	3675
glpT	2665	2790	5378	5802
glpA	983	1232	2866	3171
glpB	739	645	1495	1657
glpC	705	602	1384	1370
rpnE	4	4	8	7
yfaU	3	2	0	1
yfaV	0	2	2	2
rhmD	6	10	8	13
yfaX	0	0	3	2
yfaY	63	70	81	91
yfaZ	4	3	1	4
nudI	18	21	15	17
ais	2	0	0	0
arnB	6	5	4	2
arnC	1	1	0	0
arnA	10	7	14	10
arnD	1	2	0	2
arnT	0	2	2	3
arnE	0	0	0	0
arnF	0	0	2	2
pmrD	1	5	7	9
menE	40	65	54	51
menC	87	126	116	121
menB	82	99	96	105
menH	2	3	2	4
menD	55	53	92	112
menF	51	42	38	36
elaB	5	5	13	12
elaA	6	6	11	15
rbn	32	23	11	17
elaD	0	1	2	1
yfbK	1	0	0	0
yfbL	0	0	1	0
yfbM	2	0	6	0
yfbN	0	1	0	0
yfbO	0	0	1	0
yfbP	4	6	1	3
nuoN	503	562	645	742
nuoM	341	371	506	561
nuoL	236	241	338	318
nuoK	1	0	2	2
nuoJ	27	20	40	37
nuoI	22	20	33	30
nuoH	103	103	148	169
nuoG	845	777	1045	1107
nuoF	389	325	421	417
nuoE	95	67	97	113
nuoC	725	683	752	805
nuoB	235	212	256	247
nuoA	70	45	57	72
lrhA	100	91	141	145
alaA	64	84	51	69
yfbR	16	14	11	13
yfbS	89	131	352	393
hxpA	107	79	155	210
yfbU	59	35	82	101
yfbV	16	8	13	14
ackA	488	489	604	610
pta	821	891	865	928
yfcC	21	23	33	23
yfcD	24	16	18	18
yfcE	27	26	23	25
yfcF	11	10	8	6
yfcG	3	2	5	5
folX	4	6	5	6
yfcH	39	43	65	84
rpnB	1	1	2	0
hisP	6	4	1	6
hisM	5	5	3	0
hisQ	9	3	4	2
hisJ	51	58	45	51
argT	13	6	3	8
ubiX	15	13	13	7
purF	61	56	18	31
cvpA	25	17	7	5
dedD	50	26	43	49
folC	50	69	42	36
accD	473	457	338	282
dedA	6	9	14	8
truA	16	14	11	6
usg	52	31	38	32
pdxB	114	93	100	82
flk	27	23	22	17
yfcJ	2	6	3	3
fabB	592	506	957	983
mnmC	33	31	33	41
yfcL	5	1	2	1
epmC	9	14	13	11
yfcA	17	14	18	11
mepA	15	15	12	10
aroC	65	44	43	54
prmB	82	88	69	65
smrB	41	39	53	60
yfcO	12	9	12	16
yfcP	0	0	0	0
yfcQ	0	0	0	0
yfcR	0	0	0	0
yfcS	0	0	1	0
yfcV	0	0	1	0
sixA	35	15	19	10
fadJ	69	55	62	58
fadI	36	32	39	36
yfcZ	18	12	37	54
fadL	265	239	142	123
yfdF	1	4	1	0
mlaA	110	88	81	108
yfdC	2	2	4	6
argW	0	0	0	0
intS	9	8	5	5
yfdG	16	9	5	5
yfdH	72	72	54	26
yfdI	122	101	36	29
yfdK	0	1	0	0
yfdM	0	0	0	0
yfdN	0	1	0	0
yfdO	0	0	0	0
yfdP	0	0	0	0
yfdQ	1	1	1	1
yfdR	0	0	0	0
yfdS	0	0	0	0
yfdT	2	0	0	0
ypdJ	0	0	0	0
torI	0	0	0	0
dsdC	0	4	2	3
dsdX	1	0	5	1
dsdA	10	6	16	24
emrY	0	0	1	0
emrK	1	0	1	1
evgA	48	42	73	71
evgS	132	93	115	106
yfdE	0	1	1	0
yfdV	0	0	0	0
oxc	1	0	1	0
frc	2	0	0	1
yfdX	0	0	0	0
ypdI	0	0	0	0
yfdY	0	1	1	0
lpxP	40	23	35	25
ypdK	0	0	0	0
alaC	30	23	34	32
ypdA	36	22	35	35
ypdB	15	16	11	21
ypdC	9	6	13	10
fryA	5	6	5	6
ypdE	1	1	1	0
ypdF	0	0	0	1
fryC	0	1	1	1
fryB	0	0	0	0
glk	72	102	203	188
yfeO	5	6	10	9
ypeC	0	1	1	0
mntH	11	5	3	4
nupC	62	71	42	39
insL-3	0	0	0	0
pdeA	37	23	26	18
alaX	0	0	0	0
alaW	0	0	0	0
yfeC	4	11	24	13
yfeD	32	26	57	84
gltX	333	359	187	204
valU	0	0	0	0
valX	0	0	0	0
valY	0	0	0	0
lysV	0	0	0	0
xapR	3	1	3	3
xapB	1	2	4	4
xapA	0	0	0	0
yfeN	1	0	0	0
yfeR	1	1	3	8
yfeH	15	25	27	40
ypeB	1	1	0	1
ligA	125	149	79	75
zipA	150	137	205	161
cysZ	31	18	14	17
cysK	145	117	202	229
ptsH	14	13	12	17
ptsI	558	554	752	775
crr	262	247	337	413
pdxK	44	41	65	67
yfeK	1	0	1	2
yfeS	10	5	4	10
cysM	5	20	14	13
cysA	2	6	3	4
cysW	1	0	2	2
cysU	1	3	1	1
cysP	4	2	4	7
ucpA	646	661	1273	1526
murR	1	5	3	6
murQ	22	26	50	36
murP	19	21	32	39
yfeW	17	13	27	22
yfeX	377	399	741	866
yfeY	30	11	17	9
yfeZ	3	1	3	1
ypeA	4	1	7	4
amiA	36	31	23	27
hemF	30	19	30	23
eutR	3	3	8	5
eutK	5	1	4	3
eutL	6	4	9	15
eutC	12	10	26	24
eutB	64	47	83	77
intZ	21	25	29	15
yffL	1	1	1	4
yffM	0	0	0	0
yffN	0	0	0	0
yffO	0	0	0	0
yffP	1	1	0	0
yffQ	1	0	0	1
yffR	1	0	1	2
yffS	19	20	37	45
eutA	1	0	1	0
eutH	1	2	1	3
eutG	0	0	0	0
eutJ	0	0	0	1
eutE	4	2	1	0
eutN	0	0	0	0
eutM	1	0	1	0
eutD	1	0	2	1
eutT	1	1	1	4
eutQ	1	1	1	4
eutP	1	0	0	0
eutS	0	0	0	0
maeB	149	155	187	224
talA	23	23	32	21
tktB	50	52	53	85
ypfG	9	2	4	2
nudK	20	17	21	18
aegA	27	22	60	54
narQ	20	18	25	13
acrD	21	13	16	10
ypfM	0	0	0	0
yffB	3	4	3	6
dapE	60	49	76	94
ypfN	1	0	2	1
ypfH	16	22	31	30
tmcA	45	34	65	39
ypfJ	18	25	23	28
purC	33	44	21	28
bamC	342	312	367	364
dapA	304	248	409	368
gcvR	37	29	53	75
bcp	53	56	53	54
hyfA	1	0	0	0
hyfB	0	1	0	1
hyfC	0	0	0	2
hyfD	0	2	3	1
hyfE	0	0	0	1
hyfF	0	2	1	2
hyfG	10	4	11	10
hyfH	0	0	1	0
hyfI	0	0	3	4
hyfJ	0	0	1	0
hyfR	5	3	7	5
focB	3	1	4	1
yfgO	27	23	32	32
bepA	42	38	46	41
yfgD	20	25	22	31
hda	25	27	40	34
uraA	33	50	24	24
upp	151	151	122	110
purM	63	65	28	24
purN	19	23	16	13
ppk	144	107	165	163
ppx	109	69	96	95
pdeF	4	5	5	9
yfgG	0	1	0	1
yfgH	1	0	1	0
yfgI	1	1	1	0
guaA	518	657	354	351
guaB	235	265	154	143
xseA	123	70	97	61
yfgJ	1	0	0	0
der	151	190	102	108
bamB	293	295	258	300
yfgM	77	72	64	61
hisS	273	249	257	235
ispG	275	252	273	300
rodZ	193	175	190	190
rlmN	183	175	81	71
ndk	44	40	8	12
pbpC	23	26	42	43
yfhM	312	272	551	504
sseA	268	263	475	537
ryfA	13	7	8	3
sseB	123	107	53	57
pepB	277	346	263	282
iscX	2	4	3	4
fdx	11	8	4	7
hscA	529	579	153	137
hscB	56	56	14	5
iscA	33	48	12	16
iscU	63	64	19	33
iscS	819	877	188	183
iscR	142	113	20	14
trmJ	117	131	154	177
suhB	251	287	95	64
yfhR	3	3	0	3
csiE	65	74	130	163
hcaT	21	23	19	15
hcaR	6	18	8	5
iroK	0	0	0	0
hcaE	6	4	4	4
hcaF	1	0	2	0
hcaC	0	0	0	0
hcaB	1	2	1	0
hcaD	1	0	6	6
yphA	5	6	8	10
yphB	4	4	3	3
yphC	1	1	4	4
yphD	1	0	1	1
yphE	0	1	3	4
yphF	0	1	0	1
yphG	1	4	2	3
yphH	4	8	12	11
glyA	697	685	648	737
hmp	53	39	66	80
glnB	19	6	12	11
glrR	26	23	15	15
qseG	23	7	13	13
glrK	15	5	19	16
glmY	12	6	6	12
purL	161	180	83	104
mltF	14	9	6	11
tadA	19	8	13	12
pgpC	12	14	24	21
yfhH	4	8	4	8
yfhL	2	0	0	0
shoB	0	0	0	0
ohsC	0	0	0	0
acpS	5	7	9	7
pdxJ	61	55	89	83
recO	16	17	5	14
era	134	113	64	75
rnc	112	89	56	44
lepB	114	130	71	75
lepA	312	305	213	185
rseC	41	12	20	19
rseB	124	83	92	80
rseA	229	105	185	222
rpoE	132	68	145	117
rseD	0	0	0	0
nadB	5	6	7	6
yfiC	11	9	4	4
srmB	139	121	78	67
yfiE	7	10	10	7
eamB	4	1	3	3
grcA	1224	853	1675	2736
ung	33	45	58	79
yfiF	200	193	190	162
trxC	7	2	2	3
yfiP	15	12	8	12
patZ	434	419	794	767
pssA	340	234	336	269
yfiM	1	1	5	1
kgtP	519	495	272	212
rrfG	0	0	0	0
rrlG	28	6.5	6	5
gltW	0	0	0	0
rrsG	41.5	10.5	9	4.5
clpB	189	150	262	251
ryfD	11	23	10	23
pgeF	30	33	16	26
rluD	70	72	48	41
bamD	178	136	143	138
raiA	393	351	898	1318
pheL	0	0	0	0
pheA	43	52	38	28
tyrA	22	28	16	20
aroF	29	13	17	17
yfiL	0	1	1	1
yfiR	13	10	10	6
dgcN	19	20	19	10
yfiB	16	9	16	19
rplS	134	141	78	103
trmD	962	1072	678	691
rimM	620	706	423	443
rpsP	23	32	15	10
ffh	272	287	365	305
ypjD	25	11	24	17
yfjD	32	35	27	22
grpE	145	126	141	155
nadK	25	22	35	32
recN	26	21	32	18
bamE	27	13	20	26
yfjF	6	3	3	4
ratA	39	25	50	33
smpB	31	33	39	47
ssrA	26809	22204	33515	37905
intA	55	39	71	69
yfjH	10	6	4	0
alpA	0	0	0	0
yfjI	1	0	0	1
yfjJ	0	1	0	0
abpB	51	23	36	46
abpA	43	38	82	57
yfjM	1	0	0	0
rnlA	91	67	113	98
rnlB	5	1	3	3
yfjP	1	4	2	0
yfjQ	0	0	1	1
yfjR	2	0	0	0
ypjK	0	0	0	0
yfjS	0	0	0	0
yfjT	1	0	0	1
yfjU	0	0	0	0
yfjW	13	12	11	8
yfjX	0	0	0	1
yfjY	0	0	0	0
ypjJ	0	0	0	0
yfjZ	0	0	0	0
ypjF	0	0	0	0
ypjA	1	5	8	11
ypjB	0	0	0	0
ypjC	0	0	0	0
ileY	0	0	0	0
csiD	0	3	4	7
lhgO	6	5	4	3
gabD	14	11	16	22
gabT	21	10	13	27
gabP	1	1	5	0
csiR	5	5	4	4
kbp	21	22	25	39
yqaE	0	0	0	0
ygaV	0	1	0	1
ygaP	7	5	10	5
stpA	3	3	6	0
alaE	3	1	5	2
ygaC	1	1	0	3
ygaM	13	3	18	15
nrdH	0	0	0	0
nrdI	8	1	0	0
nrdE	72	43	3	4
nrdF	18	10	1	1
proV	227	180	92	92
proW	162	127	54	70
proX	282	288	220	224
ygaZ	45	44	62	49
ygaH	2	1	5	11
mprA	41	38	31	26
emrA	25	27	19	11
emrB	20	18	13	14
luxS	56	51	59	89
micA	0	0	0	0
gshA	210	198	200	179
yqaA	8	2	9	9
yqaB	31	25	39	36
argQ	0	0	0	0
argZ	0	0	0	0
argY	0	0	0	0
argV	0	0	0	0
serV	0	0	0	0
csrA	13	11	4	7
alaS	592	587	377	398
recX	1	3	1	0
recA	381	364	372	432
pncC	18	10	9	13
mltB	15	10	11	10
srlA	10	14	42	39
srlE	42	45	132	129
srlB	13	7	12	22
srlD	306	238	451	556
gutM	4	0	3	3
srlR	15	13	36	47
gutQ	48	36	85	80
norR	2	1	3	2
norV	2	2	3	3
norW	2	1	2	0
hypF	9	12	31	36
hydN	1	0	1	0
ascG	7	3	6	5
ascF	2	3	7	8
ascB	3	3	5	2
hycI	1	6	11	10
hycH	3	0	1	3
hycG	1	1	3	0
hycF	0	0	0	0
hycE	3	0	3	1
hycD	1	0	0	2
hycC	1	0	2	2
hycB	0	0	0	0
hycA	0	0	0	1
hypA	1	3	5	4
hypB	226	261	577	735
hypC	2	7	12	22
hypD	357	284	652	702
hypE	236	195	425	469
fhlA	118	104	147	127
ygbA	6	1	5	2
mutS	110	137	67	89
pphB	0	0	0	0
ygbI	8	14	17	18
ygbJ	2	1	1	0
ygbK	3	5	4	6
ygbL	1	2	2	3
ygbM	0	1	2	1
ygbN	2	3	1	3
rpoS	124	103	129	147
nlpD	38	47	64	52
pcm	15	13	31	35
umpG	43	34	37	44
truD	60	64	75	69
ispF	8	11	8	7
ispD	24	24	18	9
ftsB	6	8	5	4
ygbE	0	1	0	0
cysC	0	0	0	2
cysN	4	4	6	10
cysD	2	5	1	0
iap	15	11	2	2
cas2	0	0	0	0
cas1	1	3	3	1
casE	2	3	0	1
casD	0	2	2	1
casC	2	3	0	2
casB	0	0	0	0
casA	1	1	1	0
cas3	18	18	24	25
sokX	0	0	0	0
cysH	2	2	2	3
cysI	5	3	4	6
cysJ	5	4	8	9
queD	7	6	5	6
ygcN	80	70	168	134
ygcO	0	1	0	1
ygcP	13	7	27	30
ygcQ	2	0	0	1
ygcR	0	0	4	0
ygcS	0	0	0	0
ygcU	2	1	4	1
ygcW	0	0	0	1
yqcE	3	2	2	3
ygcE	4	3	6	3
queE	10	12	1	14
yqcG	0	0	0	0
ygcG	0	0	0	0
eno	2090	2395	2343	2626
pyrG	521	589	343	287
mazG	24	15	18	28
mazF	3	2	4	2
mazE	1	0	1	2
relA	162	127	226	182
rlmD	11	21	31	29
barA	67	54	64	63
gudD	35	36	71	102
gudX	17	15	49	48
gudP	22	25	68	82
yqcA	43	28	66	78
truC	19	26	12	11
yqcC	2	2	0	3
csrB	1664	1432	1785	2362
syd	19	19	20	17
queF	32	40	36	29
ppnN	746	759	1458	1578
sdaC	424	467	227	192
sdaB	198	171	65	69
ygdG	9	18	22	21
fucO	47	32	87	101
fucA	1	4	10	7
fucP	9	17	55	39
fucI	123	118	192	280
fucK	55	38	57	74
fucU	9	3	8	10
fucR	26	20	49	42
rlmM	50	40	22	25
ygdD	4	2	0	2
gcvA	9	13	3	6
gcvB	438	523	285	419
ygdI	0	1	1	2
csdA	60	30	50	57
csdE	9	3	10	10
tcdA	25	39	15	18
mltA	65	61	27	44
metZ	0	0	0	0
metW	0	0	0	0
metV	0	0	0	0
amiC	67	38	43	20
argA	6	5	10	16
recD	31	36	43	36
recB	104	79	112	116
ptrA	74	60	64	49
recC	98	89	78	102
ppdC	1	1	3	2
ygdB	2	1	1	2
ppdB	1	1	1	2
ppdA	1	1	1	2
thyA	61	57	45	53
lgt	107	81	85	64
ptsP	255	211	282	236
rppH	83	76	85	110
ygdT	0	0	0	0
mutH	7	4	5	6
ygdQ	44	27	29	20
ygdR	10	3	12	13
tas	81	87	120	131
lplT	11	10	14	9
aas	48	51	57	49
omrA	0	0	0	0
omrB	0	0	0	0
galR	22	25	51	51
lysA	2	1	4	4
lysR	8	6	8	6
ygeA	6	8	9	14
araE	7	4	10	15
kduD	4	3	7	5
kduI	3	1	4	3
yqeF	36	50	39	34
yqeG	51	43	22	11
yqeH	0	0	0	0
yqeI	4	3	4	2
yqeJ	0	0	0	1
yqeL	0	0	0	0
yqeK	0	0	0	0
ygeG	0	0	0	0
ygeH	0	1	1	0
ygeI	0	0	0	0
insD-4	0	0	0	0
insC-4	0	0	0	0
ygeQ	6	3	4	2
glyU	0	0	0	0
ygeR	30	15	35	36
xdhA	29	25	37	56
xdhB	7	3	8	9
xdhC	2	4	3	3
ygeV	189	209	410	404
ygeW	25	17	28	40
ygeX	17	6	23	25
ygeY	11	6	22	30
hyuA	6	5	12	13
yqeA	9	7	6	10
yqeB	115	109	228	259
yqeC	62	41	110	97
mocA	7	22	19	35
ygfK	128	93	190	226
ssnA	20	19	22	36
ygfM	11	9	17	21
xdhD	45	44	39	58
xanQ	6	2	3	3
guaD	1	5	8	8
ghxQ	7	6	5	7
ygfS	1	0	1	1
ygfT	3	1	11	8
uacT	5	3	7	10
yqfG	0	0	0	0
yqfH	0	0	0	0
idi	9	6	7	4
lysS	414	467	235	254
prfB	310	316	195	161
recJ	138	117	129	133
dsbC	49	48	39	41
xerD	61	52	50	32
fldB	57	23	39	32
ygfX	20	8	18	22
sdhE	17	9	14	24
ygfZ	161	173	176	211
yqfA	43	39	115	111
yqfB	4	1	4	3
bglA	76	100	144	140
ygfF	7	11	9	9
gcvP	493	419	586	636
gcvH	79	62	120	151
gcvT	360	337	551	585
yqfI	0	0	0	0
ubiI	92	79	108	93
ubiH	152	131	167	177
pepP	231	214	318	352
ygfB	68	65	87	80
zapA	24	16	20	21
ssrS	1487	2081	1478	2176
fau	6	5	14	14
sibC	0	1	0	0
ibsC	0	0	0	0
serA	42	24	52	45
rpiA	173	134	189	211
argP	42	26	38	36
scpA	4	6	4	3
argK	1	1	1	2
scpB	1	0	2	7
scpC	4	2	5	3
ygfI	3	0	4	1
yggE	60	46	65	74
argO	5	3	11	9
mscS	97	68	81	62
fbaA	1162	1201	1428	1385
pgk	651	695	884	834
epd	109	88	165	135
yggC	12	19	9	12
fumE	8	8	8	8
yggF	0	0	0	0
yggP	0	0	2	3
cmtA	1	0	1	0
cmtB	0	0	1	0
tktA	582	621	665	684
loiP	26	39	70	70
speB	94	68	78	112
speA	491	478	278	284
yqgB	0	0	0	0
yqgC	11	10	4	4
yqgD	0	0	0	0
metK	134	151	54	51
galP	10	7	16	6
yggI	1	6	3	2
endA	10	4	3	4
rsmE	14	9	18	12
gshB	57	46	96	86
yqgE	19	27	28	27
yqgF	9	10	6	8
yggR	0	1	0	0
yggS	26	23	23	23
yggT	29	29	18	18
yggU	2	1	1	1
rdgB	28	29	18	14
yggW	57	53	29	30
yggM	7	7	17	17
ansB	2675	2092	4323	5348
yggN	7	3	7	3
yggL	6	6	3	10
trmI	29	33	26	19
mutY	61	40	38	17
yggX	3	2	2	3
mltC	30	23	9	13
nupG	43	45	99	84
speC	35	45	33	29
yqgA	8	15	33	38
pheV	0.5	0	0	0
yghD	0	0	0	1
yghG	0	0	0	0
pppA	0	1	1	2
yghJ	15	22	31	31
glcA	1	0	1	0
glcB	61	58	73	83
glcG	7	1	3	7
glcF	5	7	13	11
glcE	1	2	1	0
glcD	0	1	3	2
glcC	16	23	8	17
yghO	3	0	2	0
insH-9	0	0	0	0
yghQ	1	2	1	0
yghR	0	0	1	1
yghS	0	0	1	0
yghT	1	0	0	0
pitB	1	1	2	2
gss	66	84	83	88
yghU	29	40	54	81
hybG	1	0	0	2
hybF	6	2	2	3
hybE	30	17	43	40
hybD	40	33	77	80
hybC	188	177	372	355
hybB	169	164	382	397
hybA	213	200	396	441
hybO	296	305	682	793
yghW	0	0	0	0
yqhI	0	0	0	0
gpr	167	135	313	394
yqhA	68	42	45	35
yghA	6	2	8	11
exbD	11	10	14	5
exbB	70	63	51	44
metC	12	12	12	12
yghB	30	28	64	60
yqhC	4	5	5	5
yqhD	75	73	170	212
dkgA	31	34	64	66
yqhG	1	0	2	2
yqhH	0	0	0	2
ygiQ	155	187	83	92
ftsP	80	67	107	87
plsC	14	26	22	16
parC	142	117	112	86
ygiS	16	12	26	12
mqsA	4	3	3	3
mqsR	4	0	1	2
ygiV	4	5	4	2
ygiW	19	17	20	39
qseB	4	5	7	9
qseC	13	7	16	7
ygiZ	0	0	0	1
mdaB	13	16	15	11
ygiN	30	25	41	48
parE	301	260	235	235
yqiA	39	24	42	28
cpdA	108	114	205	202
yqiB	5	3	6	3
nudF	16	19	12	20
tolC	484	437	436	481
ygiA	1	3	0	1
ygiB	165	179	219	229
ygiC	270	245	321	340
ygiD	4	3	2	9
zupT	39	23	50	34
yqiD	0	0	1	2
ribB	106	79	81	80
ubiK	11	11	15	11
ygiL	1	2	2	3
insC-5	0	0	0	0
insD-5	0	0	0	0
yqiH	1	0	1	0
yqiI	0	2	7	0
glgS	5	8	9	16
yqiJ	2	2	0	3
yqiK	10	5	7	10
sibD	0	1	0	0
ibsD	0	0	0	0
sibE	0	1	0	1
ibsE	0	0	0	0
rfaE	58	44	29	46
glnE	45	33	51	53
ygiF	5	10	9	21
ygiM	56	41	39	32
cca	104	65	99	105
bacA	18	16	20	20
folB	1	1	2	1
plsY	10	7	8	9
ttdR	1	4	10	11
ttdA	0	0	0	1
ttdB	0	0	0	0
ttdT	0	0	2	0
tsaD	58	72	67	51
rpsU	32	29	16	15
dnaG	227	170	114	96
rpoD	305	362	199	179
mug	12	10	23	31
ileX	0	0	0	0
nfeF	14	7	2	3
nfeR	10	14	26	19
aer	8	6	5	7
patA	10	9	22	23
ygjH	4	0	2	1
ebgR	28	21	62	51
ebgA	23	13	10	25
ebgC	2	0	0	0
ygjI	2	4	3	2
ygjJ	1	0	0	0
ygjK	5	3	5	3
fadH	18	23	20	22
higA	6	2	4	3
higB	0	0	0	0
rlmG	46	41	31	29
ygjP	3	2	3	4
ygjQ	2	1	2	1
ygjR	156	144	335	369
alx	6	11	5	8
sstT	34	30	36	26
ygjV	3	1	2	0
uxaA	35	34	68	79
uxaC	39	37	87	92
exuT	14	22	31	33
exuR	36	46	75	93
yqjA	23	15	16	25
mzrA	9	2	4	10
yqjC	8	7	16	12
yqjD	7	6	12	17
yqjE	35	36	67	65
yqjK	8	9	10	21
yqjF	2	1	2	3
yqjG	14	15	18	15
yhaH	3	7	5	16
yhaI	0	0	0	0
yhaJ	18	8	17	8
yhaK	0	0	3	3
yhaL	0	0	3	1
cyuA	43	46	67	85
cyuP	39	40	58	73
tdcG	775	552	770	950
tdcF	150	99	150	168
tdcE	3182	2456	3684	4284
tdcD	1527	1121	2108	2135
tdcC	3062	2442	4801	5140
tdcB	2387	2189	4885	5347
tdcA	119	284	737	969
tdcR	0	0	0	0
yhaB	2	0	0	0
yhaC	0	0	1	0
rnpB	15440	11453	16123	20507
garK	275	277	609	742
garR	288	245	664	797
garL	171	164	424	480
garP	124	188	469	513
garD	414	535	1275	1499
prlF	3	3	2	4
yhaV	25	11	23	20
agaR	18	20	33	28
kbaZ	2	6	5	7
agaV	2	1	2	2
agaS	2	2	7	3
kbaY	0	1	1	1
agaB	1	0	0	0
agaC	0	0	0	0
agaD	0	0	0	0
agaI	2	1	0	0
yraH	0	2	0	1
yraI	0	0	0	0
yraJ	10	8	13	10
yraK	4	4	5	3
rsmI	24	17	12	15
lpoA	129	134	163	127
yraN	6	3	8	2
diaA	32	28	33	37
yraP	49	34	41	45
yraQ	18	13	10	6
yraR	2	4	2	4
yhbO	0	2	0	1
yhbP	6	2	3	6
yhbQ	0	1	1	2
yhbS	89	65	216	245
yhbT	151	159	394	438
yhbU	27	24	80	76
yhbV	33	34	48	80
yhbW	28	23	37	28
mtr	7	9	16	10
deaD	1513	1722	709	648
yrbN	0	0	0	0
nlpI	731	706	495	441
pnp	2200	2341	1696	1859
sraG	1	0	0	1
rpsO	62	52	38	19
truB	144	159	96	79
rbfA	32	28	28	21
infB	1266	1796	912	989
nusA	569	587	377	394
rimP	60	48	42	44
metY	0	0	0	0
argG	56	77	55	41
yhbX	2	0	3	2
leuU	0	0	0	0
secG	96	54	67	29
glmM	390	348	486	576
folP	17	35	15	22
ftsH	944	887	832	814
rlmE	108	71	91	98
yhbY	31	25	16	20
greA	43	35	25	21
dacB	46	38	32	25
obgE	149	196	84	52
yhbE	89	70	27	29
rpmA	77	54	41	44
rplU	77	72	40	44
ispB	147	109	143	130
sfsB	0	0	0	0
murA	154	139	84	95
ibaG	0	1	0	2
mlaB	1	2	1	1
mlaC	39	28	51	46
mlaD	28	20	20	15
mlaE	47	38	59	38
mlaF	49	52	51	49
yrbG	22	21	31	18
kdsD	52	39	54	40
kdsC	27	22	27	22
lptC	32	20	26	19
lptA	37	49	26	52
lptB	71	62	54	71
rpoN	188	150	188	214
hpf	3	3	4	5
ptsN	36	25	49	38
rapZ	68	57	82	60
npr	1	4	0	1
yrbL	142	130	166	154
mtgA	21	23	33	20
elbB	57	49	125	153
arcZ	0	0	0	0
arcB	125	151	222	171
yhcC	5	6	33	23
gltB	90	96	95	80
gltD	26	20	27	30
gltF	2	2	5	5
yhcA	1	0	0	0
yhcD	4	5	10	2
insH-10	0	0	0	0
yhcF	13	3	3	2
yhcG	1	1	3	0
yhcH	24	11	31	42
nanK	40	18	35	43
nanE	28	24	51	38
nanT	91	80	146	110
nanA	142	130	220	253
nanR	54	43	57	69
dcuD	3	1	0	4
sspB	158	136	164	158
sspA	219	186	195	172
rpsI	820	641	408	413
rplM	326	322	175	180
zapE	26	10	27	19
yhcB	59	51	100	117
degQ	27	21	33	32
degS	21	16	29	12
mdh	978	823	1211	1452
argR	56	45	50	36
yhcN	1	1	0	2
yhcO	0	0	0	1
aaeB	2	3	7	5
aaeA	1	0	1	2
aaeX	0	0	0	0
aaeR	21	14	20	30
tldD	149	102	162	148
yhdP	80	58	70	60
rng	72	73	55	65
yhdE	19	10	13	11
mreD	14	10	8	6
mreC	92	97	48	44
mreB	288	262	190	171
csrD	51	45	54	43
yhdH	19	23	59	61
accB	98	95	44	50
accC	501	522	246	243
yhdT	2	1	0	0
panF	33	29	17	15
prmA	43	47	26	22
dusB	333	276	189	129
fis	15	14	11	9
yhdJ	1	3	1	0
yhdU	0	0	0	0
envR	0	0	0	0
acrE	0	1	0	0
acrF	4	5	11	2
yhdV	0	0	0	0
yhdX	4	2	2	1
yhdY	0	1	2	1
yhdZ	2	3	8	1
rrfF	0	0	0	0
thrV	0	0	0	0
rrfD	0	0	0	0
rrlD	28.5	16.5	16	6
alaU	0	0	0	0
ileU	0	0	0	0
rrsD	60	10.5	14	7.5
yrdA	27	28	41	45
yrdB	1	0	1	2
aroE	18	12	19	20
tsaC	25	10	12	10
yrdD	27	16	23	16
smg	28	33	75	80
smf	8	9	5	4
def	69	57	54	54
fmt	126	186	143	152
rsmB	94	100	80	89
trkA	74	80	52	71
mscL	23	15	27	23
arfA	0	0	0	0
zntR	3	7	1	3
yhdN	3	0	8	1
rplQ	759	594	370	355
rpoA	4284	4492	2291	2202
rpsD	1976	2158	1201	1134
rpsK	530	491	288	308
rpsM	302	283	175	221
rpmJ	0	3	1	0
secY	4526	5106	2610	2188
rplO	926	969	542	575
rpmD	12	15	5	6
rpsE	929	1031	449	450
rplR	187	178	79	93
rplF	1041	1099	505	506
rpsH	351	366	182	185
rpsN	121	129	49	59
rplE	1432	1269	696	646
rplX	192	169	109	91
rplN	402	409	264	209
rpsQ	87	139	65	66
rpmC	14	30	11	15
rplP	512	515	280	300
rpsC	2623	3096	1407	1436
rplV	256	248	95	150
rpsS	93	112	45	49
rplB	2482	2981	1078	1148
rplW	134	155	57	74
rplD	1543	1702	735	726
rplC	1984	2356	940	984
rpsJ	163	163	70	74
gspB	0	0	1	0
gspA	1	1	1	0
gspC	0	2	0	1
gspD	7	4	7	5
gspE	3	1	2	0
gspF	1	5	1	2
gspG	0	0	1	1
gspH	0	0	0	0
gspI	0	0	0	0
gspJ	0	0	1	1
gspK	3	2	2	4
gspL	9	5	8	11
gspM	0	0	0	1
gspO	2	0	0	0
bfr	24	22	36	31
bfd	0	0	0	0
chiA	15	20	22	21
tufA	7943	9171.5	8771	8797
fusA	9026	10914	6877	6913
rpsG	681	733	395	402
rpsL	278	233	158	165
tusB	2	1	0	0
tusC	4	0	1	4
tusD	2	5	7	4
yheO	29	21	23	27
fkpA	344	313	239	225
slyX	3	1	2	2
