	SRR7217923	SRR7217925	SRR7217927	SRR7217929
ybcW	0	0	0	0
ylcI	0	0	0	0
nohD	0	0	1	1
tfaD	0	0	0	0
tfaX	0	0	0	0
appY	3	0	3	0
ompT	114	109	120	120
envY	1	1	0	0
ybcH	4	4	0	1
nfrA	10	5	14	17
nfrB	5	4	8	4
cusS	7	8	7	7
cusR	22	10	8	7
cusC	1	2	0	0
cusF	0	0	0	0
cusB	3	0	1	2
cusA	4	4	7	1
pheP	55	47	31	20
ybdG	39	47	41	42
nfsB	120	122	120	143
ybdF	2	5	5	4
ybdJ	0	0	0	0
ybdK	5	6	26	21
sokE	0	0	0	0
hokE	0	0	0	0
insL-2	0	0	0	0
entD	3	1	0	0
fepA	68	62	4	1
fes	17	8	0	0
ybdZ	0	0	0	0
entF	100	64	6	2
fepE	2	0	0	0
fepC	4	4	0	0
fepG	5	4	0	0
fepD	5	3	0	0
entS	14	13	1	5
fepB	12	5	0	2
entC	49	28	1	0
entE	68	39	1	2
entB	37	30	2	1
entA	24	17	2	1
entH	6	1	2	1
cstA	399	383	840	991
ybdD	0	0	0	1
hcxA	5	4	10	14
ybdL	3	8	0	3
ybdM	1	2	4	2
ybdN	1	0	0	1
ybdO	0	1	1	0
dsbG	12	10	19	2
ahpC	1098	1089	968	994
ahpF	462	495	357	403
uspG	90	70	166	275
ybdR	3	4	9	2
yldA	0	0	0	0
rnk	11	9	13	8
rna	33	20	30	34
citT	1	0	0	2
citG	0	0	3	2
citX	0	1	0	0
citF	4	1	2	2
citE	1	1	1	1
citD	0	0	0	0
citC	0	1	0	1
dpiB	14	5	12	12
dpiA	16	23	30	23
dcuC	433	459	1095	1195
pagP	7	2	4	4
cspE	113	128	64	105
crcB	2	0	4	4
tatE	0	1	0	1
lipA	220	229	181	146
ybeF	6	1	2	2
lipB	23	22	27	18
ybeD	4	5	2	8
dacA	137	116	80	68
rlpA	55	66	49	43
mrdB	21	14	13	20
mrdA	73	52	42	26
rlmH	23	26	16	12
rsfS	17	5	10	15
cobC	5	1	3	2
nadD	21	15	18	13
holA	47	35	23	25
lptE	50	45	35	45
leuS	496	527	386	384
ybeL	52	49	121	150
ybeQ	5	3	8	9
ybeR	0	0	0	0
djlB	0	0	2	2
ybeT	0	0	0	0
ybeU	0	1	0	0
djlC	2	1	3	3
hscC	27	14	36	23
rihA	197	186	331	374
gltL	18	19	18	21
gltK	11	8	12	12
gltJ	11	5	10	8
gltI	59	48	53	62
insH-3	0	0	0	0
lnt	102	68	68	50
ybeX	101	121	97	84
ybeY	13	13	19	15
ybeZ	113	103	123	121
miaB	164	147	94	89
ubiF	52	69	98	92
glnX	0	0	0	0
glnV	0	0	0	0
metU	0	0	0	0
glnW	0	0	0	0
glnU	0	0	0	0
leuW	0	1	0	0
metT	0	0	0	0
asnB	39	27	34	44
umpH	70	65	75	91
nagC	94	103	192	144
nagA	83	99	192	201
